sku_id,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark
FAB-0001,34,1.11,0.0259,0.02,10,120,500,0.02399
FAB-0002,63,1.42,0.0534,0.02,10,120,500,0.02444
FAB-0003,92,2.73,0.0475,0.02,10,120,500,0.03905
FAB-0004,121,2.04,0.028,0.02,10,120,500,0.04289
FAB-0005,150,2.35,0.06275,0.02,10,120,500,0.04997
FAB-0006,179,3.66,0.0448,0.02,10,120,500,0.03971
FAB-0007,8,3.97,0.04855,0.02,10,120,500,0.038720000000000004
FAB-0008,37,3.28,0.044950000000000004,0.02,10,120,500,0.03827
FAB-0009,66,4.59,0.048,0.02,10,120,500,0.04436
FAB-0010,95,4.9,0.039,0.02,10,120,500,0.02945
FAB-0011,124,4.21,0.03975,0.02,10,120,500,0.02759
FAB-0012,153,5.52,0.05785,0.02,10,120,500,0.038900000000000004
FAB-0013,182,5.83,0.039150000000000004,0.02,10,120,500,0.02246
FAB-0014,11,5.14,0.0257,0.02,10,120,500,0.02738
FAB-0015,40,5.45,0.0224,0.02,10,120,500,0.03344
FAB-0016,69,6.76,0.06395,0.02,10,120,500,0.03422
FAB-0017,98,1.86,0.04625,0.02,10,120,500,0.03974
FAB-0018,127,1.17,0.0619,0.02,10,120,500,0.02246
FAB-0019,156,1.48,0.0232,0.02,10,120,500,0.04013
FAB-0020,185,2.79,0.0348,0.02,10,120,500,0.03137
FAB-0021,14,2.1,0.044399999999999995,0.02,10,120,500,0.03974
FAB-0022,43,2.41,0.047650000000000005,0.02,10,120,500,0.04691
FAB-0023,72,3.72,0.03465,0.02,10,120,500,0.029900000000000003
FAB-0024,101,3.03,0.060700000000000004,0.02,10,120,500,0.02462
FAB-0025,130,3.34,0.0285,0.02,10,120,500,0.04121
FAB-0026,159,4.65,0.054950000000000006,0.02,10,120,500,0.027020000000000002
FAB-0027,188,4.96,0.0281,0.02,10,120,500,0.03392
FAB-0028,17,4.27,0.0185,0.02,10,120,500,0.04727
FAB-0029,46,5.58,0.051,0.02,10,120,500,0.02708
FAB-0030,75,5.89,0.029699999999999997,0.02,10,120,500,0.042050000000000004
FAB-0031,104,5.2,0.06185,0.02,10,120,500,0.02945
FAB-0032,133,6.51,0.04485,0.02,10,120,500,0.03758
FAB-0033,162,6.82,0.0188,0.02,10,120,500,0.04475
FAB-0034,191,1.92,0.05685,0.02,10,120,500,0.02648
FAB-0035,20,1.23,0.054950000000000006,0.02,10,120,500,0.036860000000000004
FAB-0036,49,2.54,0.03925,0.02,10,120,500,0.02552
FAB-0037,78,2.85,0.05765,0.02,10,120,500,0.028220000000000002
FAB-0038,107,2.16,0.0212,0.02,10,120,500,0.03683
FAB-0039,136,2.47,0.04215000000000001,0.02,10,120,500,0.04406
FAB-0040,165,3.78,0.03995,0.02,10,120,500,0.035750000000000004
FAB-0041,194,3.09,0.0521,0.02,10,120,500,0.026090000000000002
FAB-0042,23,3.4,0.049100000000000005,0.02,10,120,500,0.04976
FAB-0043,52,4.71,0.048,0.02,10,120,500,0.02522
FAB-0044,81,4.02,0.0471,0.02,10,120,500,0.02114
FAB-0045,110,4.33,0.02515,0.02,10,120,500,0.04037
FAB-0046,139,5.64,0.02045,0.02,10,120,500,0.03818
FAB-0047,168,5.95,0.0413,0.02,10,120,500,0.04541
FAB-0048,197,5.26,0.016649999999999998,0.02,10,120,500,0.0242
FAB-0049,26,6.57,0.01755,0.02,10,120,500,0.03146
FAB-0050,55,6.88,0.01585,0.02,10,120,500,0.02342
FAB-0051,84,1.98,0.01805,0.02,10,120,500,0.046490000000000004
FAB-0052,113,1.29,0.029949999999999997,0.02,10,120,500,0.04553
FAB-0053,142,2.6,0.06395,0.02,10,120,500,0.032299999999999995
FAB-0054,171,2.91,0.045899999999999996,0.02,10,120,500,0.045079999999999995
FAB-0055,200,2.22,0.06315,0.02,10,120,500,0.049699999999999994
FAB-0056,29,3.53,0.059050000000000005,0.02,10,120,500,0.04184
FAB-0057,58,3.84,0.050749999999999997,0.02,10,120,500,0.04436
FAB-0058,87,3.15,0.02265,0.02,10,120,500,0.036860000000000004
FAB-0059,116,3.46,0.035949999999999996,0.02,10,120,500,0.02207
FAB-0060,145,4.77,0.04895,0.02,10,120,500,0.03956
FAB-0061,174,4.08,0.02665,0.02,10,120,500,0.03737
FAB-0062,203,4.39,0.033850000000000005,0.02,10,120,500,0.03503
FAB-0063,32,5.7,0.06425,0.02,10,120,500,0.02048
FAB-0064,61,5.01,0.03705,0.02,10,120,500,0.030559999999999997
FAB-0065,90,5.32,0.04290000000000001,0.02,10,120,500,0.02603
FAB-0066,119,6.63,0.02435,0.02,10,120,500,0.04808
FAB-0067,148,6.94,0.03785,0.02,10,120,500,0.03848
FAB-0068,177,1.04,0.0253,0.02,10,120,500,0.03944
FAB-0069,6,1.35,0.02275,0.02,10,120,500,0.02993
FAB-0070,35,2.66,0.022099999999999998,0.02,10,120,500,0.02711
FAB-0071,64,2.97,0.05235,0.02,10,120,500,0.04181
FAB-0072,93,2.28,0.03395,0.02,10,120,500,0.04486999999999999
FAB-0073,122,3.59,0.05525000000000001,0.02,10,120,500,0.03773
FAB-0074,151,3.9,0.0514,0.02,10,120,500,0.03356
FAB-0075,180,3.21,0.02255,0.02,10,120,500,0.04097
FAB-0076,9,4.52,0.01625,0.02,10,120,500,0.02213
FAB-0077,38,4.83,0.0519,0.02,10,120,500,0.03542
FAB-0078,67,4.14,0.0252,0.02,10,120,500,0.042679999999999996
FAB-0079,96,4.45,0.02445,0.02,10,120,500,0.02561
FAB-0080,125,5.76,0.04965,0.02,10,120,500,0.02426
FAB-0081,154,5.07,0.0412,0.02,10,120,500,0.033710000000000004
FAB-0082,183,5.38,0.06105000000000001,0.02,10,120,500,0.03314
