sku_id,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark
FABSOCH-W-0001,47,2.61,0.03,0.02,10,120,500,0.03
FABSOCH-W-0002,84,2.02,0.03,0.02,10,120,500,0.03
FABSOCH-W-0003,121,2.43,0.03,0.02,10,120,500,0.03
FABSOCH-W-0004,158,3.84,0.03,0.02,10,120,500,0.03
FABSOCH-W-0005,195,3.25,0.03,0.02,10,120,500,0.03
FABSOCH-W-0006,232,4.66,0.03,0.02,10,120,500,0.03
FABSOCH-W-0007,29,4.07,0.03,0.02,10,120,500,0.03
FABSOCH-W-0008,66,4.48,0.03,0.02,10,120,500,0.03
FABSOCH-W-0009,103,5.89,0.03,0.02,10,120,500,0.03
FABSOCH-W-0010,140,5.3,0.03,0.02,10,120,500,0.03
FABSOCH-W-0011,177,6.71,0.03,0.02,10,120,500,0.03
FABSOCH-W-0012,214,1.31,0.03,0.02,10,120,500,0.03
FABSOCH-W-0013,11,2.72,0.03,0.02,10,120,500,0.03
FABSOCH-W-0014,48,2.13,0.03,0.02,10,120,500,0.03
FABSOCH-W-0015,85,3.54,0.03,0.02,10,120,500,0.03
FABSOCH-W-0016,122,3.95,0.03,0.02,10,120,500,0.03
FABSOCH-W-0017,159,3.36,0.03,0.02,10,120,500,0.03
FABSOCH-W-0018,196,4.77,0.03,0.02,10,120,500,0.03
FABSOCH-W-0019,233,4.18,0.03,0.02,10,120,500,0.03
FABSOCH-W-0020,30,5.59,0.03,0.02,10,120,500,0.03
FABSOCH-W-0021,67,5.0,0.03,0.02,10,120,500,0.03
FABSOCH-W-0022,104,5.41,0.03,0.02,10,120,500,0.03
FABSOCH-W-0023,141,6.82,0.03,0.02,10,120,500,0.03
FABSOCH-W-0024,178,1.42,0.03,0.02,10,120,500,0.03
FABSOCH-W-0025,215,2.83,0.03,0.02,10,120,500,0.03
FABSOCH-W-0026,12,2.24,0.03,0.02,10,120,500,0.03
FABSOCH-W-0027,49,3.65,0.03,0.02,10,120,500,0.03
FABSOCH-W-0028,86,3.06,0.03,0.02,10,120,500,0.03
FABSOCH-W-0029,123,3.47,0.03,0.02,10,120,500,0.03
FABSOCH-W-0030,160,4.88,0.03,0.02,10,120,500,0.03
FABSOCH-W-0031,197,4.29,0.03,0.02,10,120,500,0.03
FABSOCH-W-0032,234,5.7,0.03,0.02,10,120,500,0.03
FABSOCH-W-0033,31,5.11,0.03,0.02,10,120,500,0.03
FABSOCH-W-0034,68,6.52,0.03,0.02,10,120,500,0.03
FABSOCH-W-0035,105,6.93,0.03,0.02,10,120,500,0.03
FABSOCH-W-0036,142,2.53,0.03,0.02,10,120,500,0.03
FABSOCH-W-0037,179,2.94,0.03,0.02,10,120,500,0.03
FABSOCH-W-0038,216,2.35,0.03,0.02,10,120,500,0.03
FABSOCH-W-0039,13,3.76,0.03,0.02,10,120,500,0.03
FABSOCH-W-0040,50,3.17,0.03,0.02,10,120,500,0.03
FABSOCH-W-0041,87,4.58,0.03,0.02,10,120,500,0.03
FABSOCH-W-0042,124,4.99,0.03,0.02,10,120,500,0.03
FABSOCH-W-0043,161,4.4,0.03,0.02,10,120,500,0.03
FABSOCH-W-0044,198,5.81,0.03,0.02,10,120,500,0.03
FABSOCH-W-0045,235,5.22,0.03,0.02,10,120,500,0.03
FABSOCH-W-0046,32,6.63,0.03,0.02,10,120,500,0.03
FABSOCH-W-0047,69,1.23,0.03,0.02,10,120,500,0.03
FABSOCH-W-0048,106,2.64,0.03,0.02,10,120,500,0.03
FABSOCH-W-0049,143,2.05,0.03,0.02,10,120,500,0.03
FABSOCH-W-0050,180,2.46,0.03,0.02,10,120,500,0.03
FABSOCH-W-0051,217,3.87,0.03,0.02,10,120,500,0.03
FABSOCH-W-0052,14,3.28,0.03,0.02,10,120,500,0.03
FABSOCH-W-0053,51,4.69,0.03,0.02,10,120,500,0.03
FABSOCH-W-0054,88,4.1,0.03,0.02,10,120,500,0.03
