sku_id,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark
RDS-DENIM-001,150,4.2,2.4,3.2,12,850,4500,2.2
HRX-TEE-002,100,5.5,3.5,4.5,8,3200,15000,3.5
ANK-KURTA-003,200,3.1,1.8,2.8,15,210,1800,1.6
BIB-KURTA-004,450,2.1,1.2,1.8,25,85,1200,1.1
NIKE-AIR-007,1200,3.5,1.5,2.2,45,55,1000,1.4
WRG-POLO-008,220,3.2,2.5,3.4,14,410,2500,2.4
HM-HOOD-009,400,4.8,4.2,5.2,18,290,1400,4.0
CASIO-ENT-018,600,2.5,1.2,1.8,32,32,900,1.1
MAS-KURTA-012,180,4.1,2.8,3.2,10,620,3200,2.7
HIG-JEAN-015,120,5.1,3.5,4.8,9,1100,6000,3.4
SKU-KURTA-001,150,4.0,2.5,3.0,12,500,2000,2.5
SKU-JACKET-001,400,3.5,2.0,2.5,20,100,500,2.0
SKU-KURTA-UNCERTAIN-001,150,4.0,2.5,3.0,12,500,2000,2.5
SKU-SHIRT-OVERSTOCK-001,100,2.5,1.5,1.5,15,300,3000,1.5
SKU-HERO-LOWSTOCK-001,600,2.0,1.0,1.5,30,50,500,1.0
