sku_id,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark
MYN-W-0001,47,2.61,0.025500000000000002,0.02,10,120,500,0.02318
MYN-W-0002,84,2.02,0.03795,0.02,10,120,500,0.02975
MYN-W-0003,121,2.43,0.0539,0.02,10,120,500,0.02198
MYN-W-0004,158,3.84,0.0405,0.02,10,120,500,0.03053
MYN-W-0005,195,3.25,0.0208,0.02,10,120,500,0.03266
MYN-W-0006,232,4.66,0.02005,0.02,10,120,500,0.02549
MYN-W-0007,29,4.07,0.029249999999999998,0.02,10,120,500,0.02582
MYN-W-0008,66,4.48,0.029199999999999997,0.02,10,120,500,0.03479
MYN-W-0009,103,5.89,0.0342,0.02,10,120,500,0.03716
MYN-W-0010,140,5.3,0.05535,0.02,10,120,500,0.03308
MYN-W-0011,177,6.71,0.0372,0.02,10,120,500,0.0374
MYN-W-0012,214,1.31,0.026500000000000003,0.02,10,120,500,0.0398
MYN-W-0013,11,2.72,0.04235,0.02,10,120,500,0.04484
MYN-W-0014,48,2.13,0.03265,0.02,10,120,500,0.029179999999999998
MYN-W-0015,85,3.54,0.032799999999999996,0.02,10,120,500,0.03128
MYN-W-0016,122,3.95,0.01755,0.02,10,120,500,0.036860000000000004
MYN-W-0017,159,3.36,0.038599999999999995,0.02,10,120,500,0.02225
MYN-W-0018,196,4.77,0.0259,0.02,10,120,500,0.04736
MYN-W-0019,233,4.18,0.0233,0.02,10,120,500,0.03419
MYN-W-0020,30,5.59,0.0364,0.02,10,120,500,0.04703
MYN-W-0021,67,5.0,0.01805,0.02,10,120,500,0.02858
MYN-W-0022,104,5.41,0.03685,0.02,10,120,500,0.04496
MYN-W-0023,141,6.82,0.04265000000000001,0.02,10,120,500,0.02894
MYN-W-0024,178,1.42,0.039099999999999996,0.02,10,120,500,0.032780000000000004
MYN-W-0025,215,2.83,0.0513,0.02,10,120,500,0.024050000000000002
MYN-W-0026,12,2.24,0.03025,0.02,10,120,500,0.04382
MYN-W-0027,49,3.65,0.0232,0.02,10,120,500,0.04634
MYN-W-0028,86,3.06,0.0185,0.02,10,120,500,0.04502
MYN-W-0029,123,3.47,0.0264,0.02,10,120,500,0.04592
MYN-W-0030,160,4.88,0.045899999999999996,0.02,10,120,500,0.02471
MYN-W-0031,197,4.29,0.043000000000000003,0.02,10,120,500,0.03386
MYN-W-0032,234,5.7,0.06495000000000001,0.02,10,120,500,0.044539999999999996
MYN-W-0033,31,5.11,0.0188,0.02,10,120,500,0.029900000000000003
MYN-W-0034,68,6.52,0.0401,0.02,10,120,500,0.02531
MYN-W-0035,105,6.93,0.038400000000000004,0.02,10,120,500,0.03425
MYN-W-0036,142,2.53,0.0507,0.02,10,120,500,0.04733
MYN-W-0037,179,2.94,0.01775,0.02,10,120,500,0.0311
MYN-W-0038,216,2.35,0.016149999999999998,0.02,10,120,500,0.03827
MYN-W-0039,13,3.76,0.0363,0.02,10,120,500,0.02957
MYN-W-0040,50,3.17,0.0211,0.02,10,120,500,0.03041
MYN-W-0041,87,4.58,0.017249999999999998,0.02,10,120,500,0.02012
MYN-W-0042,124,4.99,0.06475,0.02,10,120,500,0.02366
MYN-W-0043,161,4.4,0.028650000000000002,0.02,10,120,500,0.03092
MYN-W-0044,198,5.81,0.05015,0.02,10,120,500,0.027200000000000002
MYN-W-0045,235,5.22,0.03515,0.02,10,120,500,0.03533
MYN-W-0046,32,6.63,0.0374,0.02,10,120,500,0.040999999999999995
MYN-W-0047,69,1.23,0.05365,0.02,10,120,500,0.028040000000000002
MYN-W-0048,106,2.64,0.02195,0.02,10,120,500,0.03194
MYN-W-0049,143,2.05,0.0163,0.02,10,120,500,0.0368
MYN-W-0050,180,2.46,0.06255,0.02,10,120,500,0.03857
MYN-W-0051,217,3.87,0.0485,0.02,10,120,500,0.02444
MYN-W-0052,14,3.28,0.03685,0.02,10,120,500,0.04376
MYN-W-0053,51,4.69,0.02875,0.02,10,120,500,0.047990000000000005
MYN-W-0054,88,4.1,0.04355,0.02,10,120,500,0.04439
MYN-W-0055,125,5.51,0.057800000000000004,0.02,10,120,500,0.042980000000000004
MYN-W-0056,162,5.92,0.0476,0.02,10,120,500,0.04802
MYN-W-0057,199,5.33,0.0422,0.02,10,120,500,0.03911
MYN-W-0058,236,6.74,0.0626,0.02,10,120,500,0.036500000000000005
MYN-W-0059,33,1.34,0.018,0.02,10,120,500,0.037309999999999996
MYN-W-0060,70,2.75,0.044649999999999995,0.02,10,120,500,0.03995
MYN-W-0061,107,2.16,0.04335,0.02,10,120,500,0.047
MYN-W-0062,144,3.57,0.0455,0.02,10,120,500,0.027290000000000002
MYN-W-0063,181,3.98,0.045,0.02,10,120,500,0.047810000000000005
MYN-W-0064,218,3.39,0.06135,0.02,10,120,500,0.02828
MYN-W-0065,15,4.8,0.049749999999999996,0.02,10,120,500,0.02615
MYN-W-0066,52,4.21,0.0237,0.02,10,120,500,0.03638
MYN-W-0067,89,5.62,0.04875,0.02,10,120,500,0.04739
MYN-W-0068,126,5.03,0.05815,0.02,10,120,500,0.042679999999999996
MYN-W-0069,163,5.44,0.0621,0.02,10,120,500,0.04172
MYN-W-0070,200,6.85,0.035750000000000004,0.02,10,120,500,0.02699
MYN-W-0071,237,1.45,0.061200000000000004,0.02,10,120,500,0.04055
MYN-W-0072,34,2.86,0.045450000000000004,0.02,10,120,500,0.03101
MYN-W-0073,71,2.27,0.027049999999999998,0.02,10,120,500,0.04814
MYN-W-0074,108,3.68,0.0645,0.02,10,120,500,0.02981
MYN-W-0075,145,3.09,0.03005,0.02,10,120,500,0.03425
MYN-W-0076,182,4.5,0.04775,0.02,10,120,500,0.04274
MYN-W-0077,219,4.91,0.06235,0.02,10,120,500,0.0266
MYN-W-0078,16,4.32,0.01995,0.02,10,120,500,0.02378
MYN-W-0079,53,5.73,0.03905,0.02,10,120,500,0.04367
MYN-W-0080,90,5.14,0.01855,0.02,10,120,500,0.02837
MYN-W-0081,127,6.55,0.0398,0.02,10,120,500,0.03224
MYN-W-0082,164,6.96,0.0345,0.02,10,120,500,0.04004
MYN-W-0083,201,2.56,0.0403,0.02,10,120,500,0.04997
MYN-W-0084,238,2.97,0.048350000000000004,0.02,10,120,500,0.04124
MYN-W-0085,35,2.38,0.032799999999999996,0.02,10,120,500,0.03815
MYN-W-0086,72,3.79,0.053700000000000005,0.02,10,120,500,0.046310000000000004
MYN-W-0087,109,3.2,0.02655,0.02,10,120,500,0.03821
MYN-W-0088,146,4.61,0.04845,0.02,10,120,500,0.03623
MYN-W-0089,183,4.02,0.033049999999999996,0.02,10,120,500,0.03707
MYN-W-0090,220,4.43,0.0335,0.02,10,120,500,0.03839
MYN-W-0091,17,5.84,0.05595,0.02,10,120,500,0.03941
MYN-W-0092,54,5.25,0.01645,0.02,10,120,500,0.02333
MYN-W-0093,91,6.66,0.06055000000000001,0.02,10,120,500,0.03077
MYN-W-0094,128,1.26,0.04475,0.02,10,120,500,0.040190000000000003
MYN-W-0095,165,2.67,0.0337,0.02,10,120,500,0.046759999999999996
MYN-W-0096,202,2.08,0.027049999999999998,0.02,10,120,500,0.02414
MYN-W-0097,239,2.49,0.0557,0.02,10,120,500,0.044719999999999996
MYN-W-0098,36,3.9,0.0522,0.02,10,120,500,0.04394
MYN-W-0099,73,3.31,0.02695,0.02,10,120,500,0.04346
MYN-W-0100,110,4.72,0.059300000000000005,0.02,10,120,500,0.029330000000000002
MYN-W-0101,147,4.13,0.031,0.02,10,120,500,0.02465
MYN-W-0102,184,5.54,0.04585,0.02,10,120,500,0.028130000000000002
MYN-W-0103,221,5.95,0.04695,0.02,10,120,500,0.038419999999999996
MYN-W-0104,18,5.36,0.0553,0.02,10,120,500,0.047240000000000004
MYN-W-0105,55,6.77,0.053000000000000005,0.02,10,120,500,0.03242
MYN-W-0106,92,1.37,0.02875,0.02,10,120,500,0.023870000000000002
MYN-W-0107,129,2.78,0.019549999999999998,0.02,10,120,500,0.042289999999999994
MYN-W-0108,166,2.19,0.02465,0.02,10,120,500,0.04217
MYN-W-0109,203,3.6,0.053000000000000005,0.02,10,120,500,0.028310000000000002
MYN-W-0110,240,3.01,0.02425,0.02,10,120,500,0.049460000000000004
MYN-W-0111,37,3.42,0.054000000000000006,0.02,10,120,500,0.04571
MYN-W-0112,74,4.83,0.02035,0.02,10,120,500,0.023
MYN-W-0113,111,4.24,0.0352,0.02,10,120,500,0.02684
MYN-W-0114,148,5.65,0.030449999999999998,0.02,10,120,500,0.02783
MYN-W-0115,185,5.06,0.054200000000000005,0.02,10,120,500,0.047810000000000005
MYN-W-0116,222,5.47,0.0591,0.02,10,120,500,0.04727
MYN-W-0117,19,6.88,0.0458,0.02,10,120,500,0.043550000000000005
MYN-W-0118,56,1.48,0.02015,0.02,10,120,500,0.02606
MYN-W-0119,93,2.89,0.01735,0.02,10,120,500,0.04238
MYN-W-0120,130,2.3,0.02735,0.02,10,120,500,0.027860000000000003
MYN-W-0121,167,3.71,0.0159,0.02,10,120,500,0.0464
MYN-W-0122,204,3.12,0.0438,0.02,10,120,500,0.03941
MYN-W-0123,241,4.53,0.0186,0.02,10,120,500,0.023030000000000002
MYN-W-0124,38,4.94,0.024399999999999998,0.02,10,120,500,0.02069
MYN-W-0125,75,4.35,0.0611,0.02,10,120,500,0.047060000000000005
MYN-W-0126,112,5.76,0.03295,0.02,10,120,500,0.02024
MYN-W-0127,149,5.17,0.024,0.02,10,120,500,0.0455
MYN-W-0128,186,6.58,0.0467,0.02,10,120,500,0.040400000000000005
MYN-W-0129,223,6.99,0.045950000000000005,0.02,10,120,500,0.02102
MYN-W-0130,20,2.59,0.0249,0.02,10,120,500,0.049519999999999995
MYN-W-0131,57,2.0,0.06395,0.02,10,120,500,0.02987
MYN-W-0132,94,2.41,0.0174,0.02,10,120,500,0.048229999999999995
MYN-W-0133,131,3.82,0.01575,0.02,10,120,500,0.04709
MYN-W-0134,168,3.23,0.0344,0.02,10,120,500,0.0476
MYN-W-0135,205,4.64,0.023649999999999997,0.02,10,120,500,0.04802
MYN-W-0136,242,4.05,0.05765,0.02,10,120,500,0.02765
MYN-W-0137,39,4.46,0.04335,0.02,10,120,500,0.03497
MYN-W-0138,76,5.87,0.043000000000000003,0.02,10,120,500,0.040279999999999996
MYN-W-0139,113,5.28,0.03245,0.02,10,120,500,0.03272
MYN-W-0140,150,6.69,0.022199999999999998,0.02,10,120,500,0.04364
MYN-W-0141,187,1.29,0.03975,0.02,10,120,500,0.02888
MYN-W-0142,224,2.7,0.01795,0.02,10,120,500,0.027049999999999998
MYN-W-0143,21,2.11,0.04955,0.02,10,120,500,0.03368
MYN-W-0144,58,3.52,0.05550000000000001,0.02,10,120,500,0.0377
MYN-W-0145,95,3.93,0.03065,0.02,10,120,500,0.02267
MYN-W-0146,132,3.34,0.05595,0.02,10,120,500,0.02948
MYN-W-0147,169,4.75,0.04895,0.02,10,120,500,0.02495
MYN-W-0148,206,4.16,0.03295,0.02,10,120,500,0.03644
MYN-W-0149,243,5.57,0.0648,0.02,10,120,500,0.03989
MYN-W-0150,40,5.98,0.06180000000000001,0.02,10,120,500,0.024980000000000002
MYN-W-0151,77,5.39,0.023649999999999997,0.02,10,120,500,0.036860000000000004
MYN-W-0152,114,6.8,0.02465,0.02,10,120,500,0.02864
MYN-W-0153,151,1.4,0.0407,0.02,10,120,500,0.03584
MYN-W-0154,188,2.81,0.06420000000000001,0.02,10,120,500,0.045439999999999994
MYN-W-0155,225,2.22,0.0567,0.02,10,120,500,0.03902
MYN-W-0156,22,3.63,0.06065,0.02,10,120,500,0.03476
MYN-W-0157,59,3.04,0.0294,0.02,10,120,500,0.02321
MYN-W-0158,96,3.45,0.045950000000000005,0.02,10,120,500,0.03542
MYN-W-0159,133,4.86,0.04295,0.02,10,120,500,0.02567
MYN-W-0160,170,4.27,0.055600000000000004,0.02,10,120,500,0.02321
MYN-W-0161,207,5.68,0.06325,0.02,10,120,500,0.02663
MYN-W-0162,244,5.09,0.035250000000000004,0.02,10,120,500,0.04346
MYN-W-0163,41,6.5,0.01705,0.02,10,120,500,0.038779999999999995
MYN-W-0164,78,6.91,0.02255,0.02,10,120,500,0.024980000000000002
MYN-W-0165,115,2.51,0.0497,0.02,10,120,500,0.02426
MYN-W-0166,152,2.92,0.01645,0.02,10,120,500,0.049640000000000004
MYN-W-0167,189,2.33,0.03005,0.02,10,120,500,0.03794
MYN-W-0168,226,3.74,0.03505,0.02,10,120,500,0.028040000000000002
MYN-W-0169,23,3.15,0.06295,0.02,10,120,500,0.044689999999999994
MYN-W-0170,60,4.56,0.02105,0.02,10,120,500,0.0332
MYN-W-0171,97,4.97,0.0153,0.02,10,120,500,0.04727
MYN-W-0172,134,4.38,0.036199999999999996,0.02,10,120,500,0.03578
MYN-W-0173,171,5.79,0.058750000000000004,0.02,10,120,500,0.042109999999999995
MYN-W-0174,208,5.2,0.02225,0.02,10,120,500,0.03386
MYN-W-0175,245,6.61,0.06195,0.02,10,120,500,0.03977
MYN-W-0176,42,1.21,0.02075,0.02,10,120,500,0.047420000000000004
MYN-W-0177,79,2.62,0.06130000000000001,0.02,10,120,500,0.047810000000000005
MYN-W-0178,116,2.03,0.034850000000000006,0.02,10,120,500,0.0377
MYN-W-0179,153,2.44,0.04995,0.02,10,120,500,0.02747
MYN-W-0180,190,3.85,0.01505,0.02,10,120,500,0.044539999999999996
MYN-W-0181,227,3.26,0.0152,0.02,10,120,500,0.046189999999999995
MYN-W-0182,24,4.67,0.04385,0.02,10,120,500,0.03335
MYN-W-0183,61,4.08,0.01625,0.02,10,120,500,0.03224
MYN-W-0184,98,4.49,0.04625,0.02,10,120,500,0.02477
MYN-W-0185,135,5.9,0.061500000000000006,0.02,10,120,500,0.03494
MYN-W-0186,172,5.31,0.05965,0.02,10,120,500,0.04793
MYN-W-0187,209,6.72,0.05335,0.02,10,120,500,0.03176
MYN-W-0188,246,1.32,0.0478,0.02,10,120,500,0.02984
MYN-W-0189,43,2.73,0.0604,0.02,10,120,500,0.041539999999999994
MYN-W-0190,80,2.14,0.0453,0.02,10,120,500,0.0416
MYN-W-0191,117,3.55,0.016649999999999998,0.02,10,120,500,0.04169
