sku_id,product_name,product_type
FAB-0001,FAB Rug 0001,stable
FAB-0002,FAB Tee 0002,stable
FAB-0003,FAB Loafer 0003,stable
FAB-0004,FAB Belt 0004,stable
FAB-0005,FAB Perfume 0005,stable
FAB-0006,FAB Lamp 0006,stable
FAB-0007,FAB Shirt 0007,stable
FAB-0008,FAB Sneaker 0008,stable
FAB-0009,FAB Watch 0009,stable
FAB-0010,FAB Lotion 0010,stable
FAB-0011,FAB Cushion 0011,stable
FAB-0012,FAB Kurta 0012,stable
FAB-0013,FAB Boot 0013,stable
FAB-0014,FAB Bag 0014,stable
FAB-0015,FAB Cleanser 0015,stable
FAB-0016,FAB Bedsheet 0016,stable
FAB-0017,FAB Dress 0017,stable
FAB-0018,FAB Sandal 0018,stable
FAB-0019,FAB Wallet 0019,stable
FAB-0020,FAB Serum 0020,stable
FAB-0021,FAB Rug 0021,stable
FAB-0022,FAB Jacket 0022,stable
FAB-0023,FAB Loafer 0023,stable
FAB-0024,FAB Belt 0024,stable
FAB-0025,FAB Perfume 0025,stable
FAB-0026,FAB Lamp 0026,stable
FAB-0027,FAB Jeans 0027,stable
FAB-0028,FAB Sneaker 0028,stable
FAB-0029,FAB Watch 0029,stable
FAB-0030,FAB Lotion 0030,stable
FAB-0031,FAB Cushion 0031,stable
FAB-0032,FAB Tee 0032,stable
FAB-0033,FAB Boot 0033,stable
FAB-0034,FAB Bag 0034,stable
FAB-0035,FAB Cleanser 0035,stable
FAB-0036,FAB Bedsheet 0036,stable
FAB-0037,FAB Shirt 0037,stable
FAB-0038,FAB Sandal 0038,stable
FAB-0039,FAB Wallet 0039,stable
FAB-0040,FAB Serum 0040,stable
FAB-0041,FAB Rug 0041,stable
FAB-0042,FAB Kurta 0042,stable
FAB-0043,FAB Loafer 0043,stable
FAB-0044,FAB Belt 0044,stable
FAB-0045,FAB Perfume 0045,stable
FAB-0046,FAB Lamp 0046,stable
FAB-0047,FAB Dress 0047,stable
FAB-0048,FAB Sneaker 0048,stable
FAB-0049,FAB Watch 0049,stable
FAB-0050,FAB Lotion 0050,stable
FAB-0051,FAB Cushion 0051,stable
FAB-0052,FAB Jacket 0052,stable
FAB-0053,FAB Boot 0053,stable
FAB-0054,FAB Bag 0054,stable
FAB-0055,FAB Cleanser 0055,stable
FAB-0056,FAB Bedsheet 0056,stable
FAB-0057,FAB Jeans 0057,stable
FAB-0058,FAB Sandal 0058,stable
FAB-0059,FAB Wallet 0059,stable
FAB-0060,FAB Serum 0060,stable
FAB-0061,FAB Rug 0061,stable
FAB-0062,FAB Tee 0062,stable
FAB-0063,FAB Loafer 0063,stable
FAB-0064,FAB Belt 0064,stable
FAB-0065,FAB Perfume 0065,stable
FAB-0066,FAB Lamp 0066,stable
FAB-0067,FAB Shirt 0067,stable
FAB-0068,FAB Sneaker 0068,stable
FAB-0069,FAB Watch 0069,stable
FAB-0070,FAB Lotion 0070,stable
FAB-0071,FAB Cushion 0071,stable
FAB-0072,FAB Kurta 0072,stable
FAB-0073,FAB Boot 0073,stable
FAB-0074,FAB Bag 0074,stable
FAB-0075,FAB Cleanser 0075,stable
FAB-0076,FAB Bedsheet 0076,stable
FAB-0077,FAB Dress 0077,stable
FAB-0078,FAB Sandal 0078,stable
FAB-0079,FAB Wallet 0079,stable
FAB-0080,FAB Serum 0080,stable
FAB-0081,FAB Rug 0081,stable
FAB-0082,FAB Jacket 0082,stable
FAB-0083,FAB Loafer 0083,stable
FAB-0084,FAB Belt 0084,stable
FAB-0085,FAB Perfume 0085,stable
FAB-0086,FAB Lamp 0086,stable
FAB-0087,FAB Jeans 0087,stable
FAB-0088,FAB Sneaker 0088,stable
FAB-0089,FAB Watch 0089,stable
FAB-0090,FAB Lotion 0090,stable
FAB-0091,FAB Cushion 0091,stable
FAB-0092,FAB Tee 0092,stable
FAB-0093,FAB Boot 0093,stable
FAB-0094,FAB Bag 0094,stable
FAB-0095,FAB Cleanser 0095,stable
FAB-0096,FAB Bedsheet 0096,stable
FAB-0097,FAB Shirt 0097,stable
FAB-0098,FAB Sandal 0098,stable
FAB-0099,FAB Wallet 0099,stable
FAB-0100,FAB Serum 0100,stable
FAB-0101,FAB Rug 0101,stable
FAB-0102,FAB Kurta 0102,stable
FAB-0103,FAB Loafer 0103,stable
FAB-0104,FAB Belt 0104,stable
FAB-0105,FAB Perfume 0105,stable
FAB-0106,FAB Lamp 0106,stable
FAB-0107,FAB Dress 0107,stable
FAB-0108,FAB Sneaker 0108,stable
FAB-0109,FAB Watch 0109,stable
FAB-0110,FAB Lotion 0110,stable
FAB-0111,FAB Cushion 0111,stable
FAB-0112,FAB Jacket 0112,stable
FAB-0113,FAB Boot 0113,stable
FAB-0114,FAB Bag 0114,stable
FAB-0115,FAB Cleanser 0115,stable
FAB-0116,FAB Bedsheet 0116,stable
FAB-0117,FAB Jeans 0117,stable
FAB-0118,FAB Sandal 0118,stable
FAB-0119,FAB Wallet 0119,stable
FAB-0120,FAB Serum 0120,stable
FAB-0121,FAB Rug 0121,stable
