sku_id,product_name,product_type
FABSOCH-W-0001,Fabindia Silk Blend Saree - Navy - Cotton Blend - Relaxed Fit,stable
FABSOCH-W-0002,Soch Floral Print Saree - Olive - Wool Blend - Slim Fit,stable
FABSOCH-W-0003,Fabindia Cotton Saree - Maroon - Polyester - Oversized,stable
FABSOCH-W-0004,Soch Embellished Saree - Beige - Silk Blend - Regular Fit,stable
FABSOCH-W-0005,Fabindia Handblock Print Kurta - Grey - Viscose - Relaxed Fit,stable
FABSOCH-W-0006,Soch Woven Design Saree - Mustard - Cotton - Slim Fit,stable
FABSOCH-W-0007,Fabindia Cotton Silk Kurta - Teal - Cotton Blend - Oversized,stable
FABSOCH-W-0008,Soch Festive Kurta Set - Off-White - Wool Blend - Regular Fit,stable
FABSOCH-W-0009,Fabindia Printed Cotton Kurta - Brown - Polyester - Relaxed Fit,stable
FABSOCH-W-0010,Soch Straight Kurta Set - Black - Silk Blend - Slim Fit,stable
FABSOCH-W-0011,Fabindia Quilted Short Jacket - Navy - Viscose - Oversized,stable
FABSOCH-W-0012,Soch Printed Kurta - Olive - Cotton - Regular Fit,stable
FABSOCH-W-0013,Fabindia Wool Blend Jacket - Maroon - Cotton Blend - Relaxed Fit,stable
FABSOCH-W-0014,Soch Embroidered Kurta - Beige - Wool Blend - Slim Fit,stable
FABSOCH-W-0015,Fabindia Cotton Padded Jacket - Grey - Polyester - Oversized,stable
FABSOCH-W-0016,Fabindia Silk Blend Saree - Mustard - Silk Blend - Regular Fit,stable
FABSOCH-W-0017,Soch Floral Print Saree - Teal - Viscose - Relaxed Fit,stable
FABSOCH-W-0018,Fabindia Cotton Saree - Off-White - Cotton - Slim Fit,stable
FABSOCH-W-0019,Soch Embellished Saree - Brown - Cotton Blend - Oversized,stable
FABSOCH-W-0020,Fabindia Handblock Print Kurta - Black - Wool Blend - Regular Fit,stable
FABSOCH-W-0021,Soch Woven Design Saree - Navy - Polyester - Relaxed Fit,stable
FABSOCH-W-0022,Fabindia Cotton Silk Kurta - Olive - Silk Blend - Slim Fit,stable
FABSOCH-W-0023,Soch Festive Kurta Set - Maroon - Viscose - Oversized,stable
FABSOCH-W-0024,Fabindia Printed Cotton Kurta - Beige - Cotton - Regular Fit,stable
FABSOCH-W-0025,Soch Straight Kurta Set - Grey - Cotton Blend - Relaxed Fit,stable
