sku_id,stock_on_hand,days_of_cover,sell_through_weekly_pct,ageing_days,stockout_risk_pct,days_to_season_end
MYN-W-0001,33,39,0.23,34,0.0,
MYN-W-0002,56,68,0.2,65,0.0,
MYN-W-0003,79,22,0.17,96,27.0,
MYN-W-0004,102,51,0.14,7,0.0,
MYN-W-0005,125,80,0.11,38,0.0,
MYN-W-0006,148,34,0.08,69,0.0,
MYN-W-0007,171,63,0.05,100,0.0,
MYN-W-0008,194,17,0.24,11,43.0,
MYN-W-0009,217,46,0.21,42,0.0,
MYN-W-0010,240,75,0.18,73,0.0,
MYN-W-0011,263,29,0.15,104,3.0,
MYN-W-0012,286,58,0.12,15,0.0,
MYN-W-0013,309,12,0.09,46,60.0,
MYN-W-0014,332,41,0.06,77,0.0,
MYN-W-0015,355,70,0.25,108,0.0,
MYN-W-0016,378,24,0.22,19,20.0,
MYN-W-0017,401,53,0.19,50,0.0,
MYN-W-0018,424,82,0.16,81,0.0,
MYN-W-0019,447,36,0.13,112,0.0,
MYN-W-0020,470,65,0.1,23,0.0,
MYN-W-0021,493,19,0.07,54,37.0,
MYN-W-0022,516,48,0.04,85,0.0,
MYN-W-0023,539,77,0.23,116,0.0,
MYN-W-0024,562,31,0.2,27,0.0,
MYN-W-0025,585,60,0.17,58,0.0,
MYN-W-0026,608,14,0.14,89,53.0,
MYN-W-0027,631,43,0.11,120,0.0,
MYN-W-0028,654,72,0.08,31,0.0,
MYN-W-0029,677,26,0.05,62,13.0,
MYN-W-0030,700,55,0.24,93,0.0,
MYN-W-0031,23,84,0.21,4,0.0,
MYN-W-0032,46,38,0.18,35,0.0,
MYN-W-0033,69,67,0.15,66,0.0,
MYN-W-0034,92,21,0.12,97,30.0,
MYN-W-0035,115,50,0.09,8,0.0,
MYN-W-0036,138,79,0.06,39,0.0,
MYN-W-0037,161,33,0.25,70,0.0,
MYN-W-0038,184,62,0.22,101,0.0,
MYN-W-0039,207,16,0.19,12,47.0,
MYN-W-0040,230,45,0.16,43,0.0,
MYN-W-0041,253,74,0.13,74,0.0,
MYN-W-0042,276,28,0.1,105,7.0,
MYN-W-0043,299,57,0.07,16,0.0,
MYN-W-0044,322,11,0.04,47,63.0,
MYN-W-0045,345,40,0.23,78,0.0,
MYN-W-0046,368,69,0.2,109,0.0,
MYN-W-0047,391,23,0.17,20,23.0,
MYN-W-0048,414,52,0.14,51,0.0,
MYN-W-0049,437,81,0.11,82,0.0,
MYN-W-0050,460,35,0.08,113,0.0,
MYN-W-0051,483,64,0.05,24,0.0,
MYN-W-0052,506,18,0.24,55,40.0,
MYN-W-0053,529,47,0.21,86,0.0,
MYN-W-0054,552,76,0.18,117,0.0,
MYN-W-0055,575,30,0.15,28,0.0,
MYN-W-0056,598,59,0.12,59,0.0,
MYN-W-0057,621,13,0.09,90,57.0,
MYN-W-0058,644,42,0.06,121,0.0,
MYN-W-0059,667,71,0.25,32,0.0,
MYN-W-0060,690,25,0.22,63,17.0,
MYN-W-0061,13,54,0.19,94,0.0,
MYN-W-0062,36,83,0.16,5,0.0,
MYN-W-0063,59,37,0.13,36,0.0,
MYN-W-0064,82,66,0.1,67,0.0,
MYN-W-0065,105,20,0.07,98,33.0,
MYN-W-0066,128,49,0.04,9,0.0,
MYN-W-0067,151,78,0.23,40,0.0,
MYN-W-0068,174,32,0.2,71,0.0,
MYN-W-0069,197,61,0.17,102,0.0,
MYN-W-0070,220,15,0.14,13,50.0,
MYN-W-0071,243,44,0.11,44,0.0,
MYN-W-0072,266,73,0.08,75,0.0,
MYN-W-0073,289,27,0.05,106,10.0,
MYN-W-0074,312,56,0.24,17,0.0,
MYN-W-0075,335,10,0.21,48,67.0,
MYN-W-0076,358,39,0.18,79,0.0,
MYN-W-0077,381,68,0.15,110,0.0,
MYN-W-0078,404,22,0.12,21,27.0,
MYN-W-0079,427,51,0.09,52,0.0,
MYN-W-0080,450,80,0.06,83,0.0,
MYN-W-0081,473,34,0.25,114,0.0,
MYN-W-0082,496,63,0.22,25,0.0,
MYN-W-0083,519,17,0.19,56,43.0,
MYN-W-0084,542,46,0.16,87,0.0,
MYN-W-0085,565,75,0.13,118,0.0,
MYN-W-0086,588,29,0.1,29,3.0,
MYN-W-0087,611,58,0.07,60,0.0,
MYN-W-0088,634,12,0.04,91,60.0,
MYN-W-0089,657,41,0.23,122,0.0,
MYN-W-0090,680,70,0.2,33,0.0,
MYN-W-0091,703,24,0.17,64,20.0,
MYN-W-0092,26,53,0.14,95,0.0,
MYN-W-0093,49,82,0.11,6,0.0,
MYN-W-0094,72,36,0.08,37,0.0,
MYN-W-0095,95,65,0.05,68,0.0,
MYN-W-0096,118,19,0.24,99,37.0,
MYN-W-0097,141,48,0.21,10,0.0,
MYN-W-0098,164,77,0.18,41,0.0,
MYN-W-0099,187,31,0.15,72,0.0,
MYN-W-0100,210,60,0.12,103,0.0,
MYN-W-0101,233,14,0.09,14,53.0,
MYN-W-0102,256,43,0.06,45,0.0,
MYN-W-0103,279,72,0.25,76,0.0,
MYN-W-0104,302,26,0.22,107,13.0,
MYN-W-0105,325,55,0.19,18,0.0,
MYN-W-0106,348,84,0.16,49,0.0,
MYN-W-0107,371,38,0.13,80,0.0,
MYN-W-0108,394,67,0.1,111,0.0,
MYN-W-0109,417,21,0.07,22,30.0,
MYN-W-0110,440,50,0.04,53,0.0,
MYN-W-0111,463,79,0.23,84,0.0,
MYN-W-0112,486,33,0.2,115,0.0,
MYN-W-0113,509,62,0.17,26,0.0,
MYN-W-0114,532,16,0.14,57,47.0,
MYN-W-0115,555,45,0.11,88,0.0,
MYN-W-0116,578,74,0.08,119,0.0,
MYN-W-0117,601,28,0.05,30,7.0,
MYN-W-0118,624,57,0.24,61,0.0,
MYN-W-0119,647,11,0.21,92,63.0,
MYN-W-0120,670,40,0.18,3,0.0,
MYN-W-0121,693,69,0.15,34,0.0,
MYN-W-0122,16,23,0.12,65,23.0,
MYN-W-0123,39,52,0.09,96,0.0,
MYN-W-0124,62,81,0.06,7,0.0,
MYN-W-0125,85,35,0.25,38,0.0,
MYN-W-0126,108,64,0.22,69,0.0,
MYN-W-0127,131,18,0.19,100,40.0,
MYN-W-0128,154,47,0.16,11,0.0,
MYN-W-0129,177,76,0.13,42,0.0,
MYN-W-0130,200,30,0.1,73,0.0,
MYN-W-0131,223,59,0.07,104,0.0,
MYN-W-0132,246,13,0.04,15,57.0,
MYN-W-0133,269,42,0.23,46,0.0,
MYN-W-0134,292,71,0.2,77,0.0,
MYN-W-0135,315,25,0.17,108,17.0,
MYN-W-0136,338,54,0.14,19,0.0,
MYN-W-0137,361,83,0.11,50,0.0,
MYN-W-0138,384,37,0.08,81,0.0,
MYN-W-0139,407,66,0.05,112,0.0,
MYN-W-0140,430,20,0.24,23,33.0,
MYN-W-0141,453,49,0.21,54,0.0,
MYN-W-0142,476,78,0.18,85,0.0,
MYN-W-0143,499,32,0.15,116,0.0,
MYN-W-0144,522,61,0.12,27,0.0,
MYN-W-0145,545,15,0.09,58,50.0,
MYN-W-0146,568,44,0.06,89,0.0,
MYN-W-0147,591,73,0.25,120,0.0,
MYN-W-0148,614,27,0.22,31,10.0,
MYN-W-0149,637,56,0.19,62,0.0,
MYN-W-0150,660,10,0.16,93,67.0,
MYN-W-0151,683,39,0.13,4,0.0,
MYN-W-0152,706,68,0.1,35,0.0,
MYN-W-0153,29,22,0.07,66,27.0,
MYN-W-0154,52,51,0.04,97,0.0,
MYN-W-0155,75,80,0.23,8,0.0,
MYN-W-0156,98,34,0.2,39,0.0,
MYN-W-0157,121,63,0.17,70,0.0,
MYN-W-0158,144,17,0.14,101,43.0,
MYN-W-0159,167,46,0.11,12,0.0,
MYN-W-0160,190,75,0.08,43,0.0,
MYN-W-0161,213,29,0.05,74,3.0,
MYN-W-0162,236,58,0.24,105,0.0,
MYN-W-0163,259,12,0.21,16,60.0,
MYN-W-0164,282,41,0.18,47,0.0,
MYN-W-0165,305,70,0.15,78,0.0,
MYN-W-0166,328,24,0.12,109,20.0,
MYN-W-0167,351,53,0.09,20,0.0,
MYN-W-0168,374,82,0.06,51,0.0,
MYN-W-0169,397,36,0.25,82,0.0,
MYN-W-0170,420,65,0.22,113,0.0,
MYN-W-0171,443,19,0.19,24,37.0,
MYN-W-0172,466,48,0.16,55,0.0,
MYN-W-0173,489,77,0.13,86,0.0,
MYN-W-0174,512,31,0.1,117,0.0,
MYN-W-0175,535,60,0.07,28,0.0,
MYN-W-0176,558,14,0.04,59,53.0,
MYN-W-0177,581,43,0.23,90,0.0,
MYN-W-0178,604,72,0.2,121,0.0,
MYN-W-0179,627,26,0.17,32,13.0,
MYN-W-0180,650,55,0.14,63,0.0,
MYN-W-0181,673,84,0.11,94,0.0,
MYN-W-0182,696,38,0.08,5,0.0,
MYN-W-0183,19,67,0.05,36,0.0,
MYN-W-0184,42,21,0.24,67,30.0,
MYN-W-0185,65,50,0.21,98,0.0,
MYN-W-0186,88,79,0.18,9,0.0,
MYN-W-0187,111,33,0.15,40,0.0,
MYN-W-0188,134,62,0.12,71,0.0,
MYN-W-0189,157,16,0.09,102,47.0,
MYN-W-0190,180,45,0.06,13,0.0,
MYN-W-0191,203,74,0.25,44,0.0,
MYN-W-0192,226,28,0.22,75,7.0,
MYN-W-0193,249,57,0.19,106,0.0,
MYN-W-0194,272,11,0.16,17,63.0,
MYN-W-0195,295,40,0.13,48,0.0,
MYN-W-0196,318,69,0.1,79,0.0,
MYN-W-0197,341,23,0.07,110,23.0,
MYN-W-0198,364,52,0.04,21,0.0,
MYN-W-0199,387,81,0.23,52,0.0,
MYN-W-0200,410,35,0.2,83,0.0,
MYN-W-0201,433,64,0.17,114,0.0,
MYN-W-0202,456,18,0.14,25,40.0,
MYN-W-0203,479,47,0.11,56,0.0,
MYN-W-0204,502,76,0.08,87,0.0,
MYN-W-0205,525,30,0.05,118,0.0,
MYN-W-0206,548,59,0.24,29,0.0,
MYN-W-0207,571,13,0.21,60,57.0,
MYN-W-0208,594,42,0.18,91,0.0,
MYN-W-0209,617,71,0.15,122,0.0,
MYN-W-0210,640,25,0.12,33,17.0,
MYN-W-0211,663,54,0.09,64,0.0,
MYN-W-0212,686,83,0.06,95,0.0,
MYN-W-0213,709,37,0.25,6,0.0,
MYN-W-0214,32,66,0.22,37,0.0,
MYN-W-0215,55,20,0.19,68,33.0,
MYN-W-0216,78,49,0.16,99,0.0,
MYN-W-0217,101,78,0.13,10,0.0,
MYN-W-0218,124,32,0.1,41,0.0,
MYN-W-0219,147,61,0.07,72,0.0,
MYN-W-0220,170,15,0.04,103,50.0,
MYN-W-0221,193,44,0.23,14,0.0,
MYN-W-0222,216,73,0.2,45,0.0,
MYN-W-0223,239,27,0.17,76,10.0,
MYN-W-0224,262,56,0.14,107,0.0,
MYN-W-0225,285,10,0.11,18,67.0,
MYN-W-0226,308,39,0.08,49,0.0,
MYN-W-0227,331,68,0.05,80,0.0,
MYN-W-0228,354,22,0.24,111,27.0,
MYN-W-0229,377,51,0.21,22,0.0,
MYN-W-0230,400,80,0.18,53,0.0,
MYN-W-0231,423,34,0.15,84,0.0,
MYN-W-0232,446,63,0.12,115,0.0,
MYN-W-0233,469,17,0.09,26,43.0,
MYN-W-0234,492,46,0.06,57,0.0,
MYN-W-0235,515,75,0.25,88,0.0,
MYN-W-0236,538,29,0.22,119,3.0,
MYN-W-0237,561,58,0.19,30,0.0,
MYN-W-0238,584,12,0.16,61,60.0,
MYN-W-0239,607,41,0.13,92,0.0,
MYN-W-0240,630,70,0.1,3,0.0,
MYN-W-0241,653,24,0.07,34,20.0,
MYN-W-0242,676,53,0.04,65,0.0,
MYN-W-0243,699,82,0.23,96,0.0,
