sku_id,category,current_price,cogs,competitor_price,mrp
FAB-0001,Home,1078,431,1078,1240.0
FAB-0002,Apparel,1439,648,1439,1655.0
FAB-0003,Footwear,2724,1362,2724,3133.0
FAB-0004,Accessories,1219,670,1219,1402.0
FAB-0005,Beauty,591,230,591,680.0
FAB-0006,Home,1130,497,1130,1300.0
FAB-0007,Apparel,1499,735,1499,1724.0
FAB-0008,Footwear,2824,1525,2824,3248.0
FAB-0009,Accessories,1259,478,1259,1448.0
FAB-0010,Beauty,623,268,623,716.0
FAB-0011,Home,1182,567,1182,1359.0
FAB-0012,Apparel,1559,826,1559,1793.0
FAB-0013,Footwear,2924,1082,2924,3363.0
FAB-0014,Accessories,1299,546,1299,1494.0
FAB-0015,Beauty,655,308,655,753.0
FAB-0016,Home,1234,642,1234,1419.0
FAB-0017,Apparel,1619,583,1619,1862.0
FAB-0018,Footwear,3024,1240,3024,3478.0
FAB-0019,Accessories,729,335,729,838.0
FAB-0020,Beauty,687,350,687,790.0
FAB-0021,Home,1286,450,1286,1479.0
FAB-0022,Apparel,1679,672,1679,1931.0
FAB-0023,Footwear,3124,1406,3124,3593.0
FAB-0024,Accessories,769,384,769,884.0
FAB-0025,Beauty,719,395,719,827.0
FAB-0026,Home,1338,522,1338,1539.0
FAB-0027,Apparel,1739,765,1739,2000.0
FAB-0028,Footwear,3224,1580,3224,3708.0
FAB-0029,Accessories,809,437,809,930.0
FAB-0030,Beauty,751,285,751,864.0
FAB-0031,Home,1390,598,1390,1598.0
FAB-0032,Apparel,1799,864,1799,2069.0
FAB-0033,Footwear,1799,953,1799,2069.0
FAB-0034,Accessories,849,314,849,976.0
FAB-0035,Beauty,783,329,783,900.0
FAB-0036,Home,1442,678,1442,1658.0
FAB-0037,Apparel,1859,967,1859,2138.0
FAB-0038,Footwear,1899,684,1899,2184.0
FAB-0039,Accessories,889,364,889,1022.0
FAB-0040,Beauty,815,375,815,937.0
FAB-0041,Home,1494,762,1494,1718.0
FAB-0042,Apparel,1919,672,1919,2207.0
FAB-0043,Footwear,1999,800,1999,2299.0
FAB-0044,Accessories,929,418,929,1068.0
FAB-0045,Beauty,847,424,847,974.0
FAB-0046,Home,1546,850,1546,1778.0
FAB-0047,Apparel,1064,415,1064,1224.0
FAB-0048,Footwear,2099,924,2099,2414.0
FAB-0049,Accessories,969,475,969,1114.0
FAB-0050,Beauty,879,475,879,1011.0
FAB-0051,Home,1598,607,1598,1838.0
FAB-0052,Apparel,1124,483,1124,1293.0
FAB-0053,Footwear,2199,1056,2199,2529.0
FAB-0054,Accessories,1009,535,1009,1160.0
FAB-0055,Beauty,911,337,911,1048.0
FAB-0056,Home,1650,693,1650,1897.0
FAB-0057,Apparel,1184,556,1184,1362.0
FAB-0058,Footwear,2299,1195,2299,2644.0
FAB-0059,Accessories,1049,378,1049,1206.0
FAB-0060,Beauty,943,387,943,1084.0
FAB-0061,Home,909,418,909,1045.0
FAB-0062,Apparel,1244,634,1244,1431.0
FAB-0063,Footwear,2399,840,2399,2759.0
FAB-0064,Accessories,1089,436,1089,1252.0
FAB-0065,Beauty,975,439,975,1121.0
FAB-0066,Home,961,480,961,1105.0
FAB-0067,Apparel,1304,717,1304,1500.0
FAB-0068,Footwear,2499,975,2499,2874.0
FAB-0069,Accessories,1129,497,1129,1298.0
FAB-0070,Beauty,1007,493,1007,1158.0
FAB-0071,Home,1013,547,1013,1165.0
FAB-0072,Apparel,1364,518,1364,1569.0
FAB-0073,Footwear,2599,1118,2599,2989.0
FAB-0074,Accessories,1169,561,1169,1344.0
FAB-0075,Beauty,1039,551,1039,1195.0
FAB-0076,Home,1065,394,1065,1225.0
FAB-0077,Apparel,1424,598,1424,1638.0
FAB-0078,Footwear,2699,1269,2699,3104.0
FAB-0079,Accessories,1209,629,1209,1390.0
FAB-0080,Beauty,583,210,583,670.0
FAB-0081,Home,1117,458,1117,1285.0
FAB-0082,Apparel,1484,683,1484,1707.0
FAB-0083,Footwear,2799,1427,2799,3219.0
FAB-0084,Accessories,1249,437,1249,1436.0
FAB-0085,Beauty,615,246,615,707.0
FAB-0086,Home,1169,526,1169,1344.0
FAB-0087,Apparel,1544,772,1544,1776.0
FAB-0088,Footwear,2899,1594,2899,3334.0
FAB-0089,Accessories,1289,503,1289,1482.0
FAB-0090,Beauty,647,285,647,744.0
FAB-0091,Home,1221,598,1221,1404.0
FAB-0092,Apparel,1604,866,1604,1845.0
FAB-0093,Footwear,2999,1140,2999,3449.0
FAB-0094,Accessories,719,309,719,827.0
FAB-0095,Beauty,679,326,679,781.0
FAB-0096,Home,1273,675,1273,1464.0
FAB-0097,Apparel,1664,616,1664,1914.0
FAB-0098,Footwear,3099,1302,3099,3564.0
FAB-0099,Accessories,759,357,759,873.0
FAB-0100,Beauty,711,370,711,818.0
FAB-0101,Home,1325,477,1325,1524.0
FAB-0102,Apparel,1724,707,1724,1983.0
FAB-0103,Footwear,3199,1472,3199,3679.0
FAB-0104,Accessories,799,407,799,919.0
FAB-0105,Beauty,743,260,743,854.0
FAB-0106,Home,1377,551,1377,1584.0
FAB-0107,Apparel,1784,803,1784,2052.0
FAB-0108,Footwear,1774,887,1774,2040.0
FAB-0109,Accessories,839,461,839,965.0
FAB-0110,Beauty,775,302,775,891.0
FAB-0111,Home,1429,629,1429,1643.0
FAB-0112,Apparel,1844,904,1844,2121.0
FAB-0113,Footwear,1874,1012,1874,2155.0
FAB-0114,Accessories,879,334,879,1011.0
FAB-0115,Beauty,807,347,807,928.0
FAB-0116,Home,1481,711,1481,1703.0
FAB-0117,Apparel,1904,1009,1904,2190.0
FAB-0118,Footwear,1974,730,1974,2270.0
FAB-0119,Accessories,919,386,919,1057.0
FAB-0120,Beauty,839,394,839,965.0
FAB-0121,Home,1533,797,1533,1763.0
FAB-0122,Apparel,1049,378,1049,1206.0
FAB-0123,Footwear,2074,850,2074,2385.0
FAB-0124,Accessories,959,441,959,1103.0
FAB-0125,Beauty,871,444,871,1002.0
FAB-0126,Home,1585,555,1585,1823.0
FAB-0127,Apparel,1109,444,1109,1275.0
FAB-0128,Footwear,2174,978,2174,2500.0
FAB-0129,Accessories,999,500,999,1149.0
FAB-0130,Beauty,903,497,903,1038.0
FAB-0131,Home,1637,638,1637,1883.0
FAB-0132,Apparel,1169,514,1169,1344.0
FAB-0133,Footwear,2274,1114,2274,2615.0
FAB-0134,Accessories,1039,561,1039,1195.0
FAB-0135,Beauty,935,355,935,1075.0
FAB-0136,Home,1689,726,1689,1942.0
FAB-0137,Apparel,1229,590,1229,1413.0
FAB-0138,Footwear,2374,1258,2374,2730.0
FAB-0139,Accessories,1079,399,1079,1241.0
FAB-0140,Beauty,967,406,967,1112.0
FAB-0141,Home,948,446,948,1090.0
FAB-0142,Apparel,1289,670,1289,1482.0
FAB-0143,Footwear,2474,891,2474,2845.0
FAB-0144,Accessories,1119,459,1119,1287.0
FAB-0145,Beauty,999,460,999,1149.0
FAB-0146,Home,1000,510,1000,1150.0
FAB-0147,Apparel,1349,472,1349,1551.0
FAB-0148,Footwear,2574,1030,2574,2960.0
FAB-0149,Accessories,1159,522,1159,1333.0
FAB-0150,Beauty,1031,516,1031,1186.0
FAB-0151,Home,1052,579,1052,1210.0
FAB-0152,Apparel,1409,550,1409,1620.0
FAB-0153,Footwear,2674,1177,2674,3075.0
FAB-0154,Accessories,1199,588,1199,1379.0
FAB-0155,Beauty,575,310,575,661.0
FAB-0156,Home,1104,420,1104,1270.0
FAB-0157,Apparel,1469,632,1469,1689.0
FAB-0158,Footwear,2774,1332,2774,3190.0
FAB-0159,Accessories,1239,657,1239,1425.0
FAB-0160,Beauty,607,225,607,698.0
FAB-0161,Home,1156,486,1156,1329.0
FAB-0162,Apparel,1529,719,1529,1758.0
FAB-0163,Footwear,2874,1494,2874,3305.0
FAB-0164,Accessories,1279,460,1279,1471.0
FAB-0165,Beauty,639,262,639,735.0
FAB-0166,Home,1208,556,1208,1389.0
FAB-0167,Apparel,1589,810,1589,1827.0
FAB-0168,Footwear,2974,1041,2974,3420.0
FAB-0169,Accessories,709,284,709,815.0
FAB-0170,Beauty,671,302,671,772.0
FAB-0171,Home,1260,630,1260,1449.0
FAB-0172,Apparel,1649,907,1649,1896.0
FAB-0173,Footwear,3074,1199,3074,3535.0
FAB-0174,Accessories,749,330,749,861.0
FAB-0175,Beauty,703,344,703,808.0
FAB-0176,Home,1312,708,1312,1509.0
FAB-0177,Apparel,1709,649,1709,1965.0
FAB-0178,Footwear,3174,1365,3174,3650.0
FAB-0179,Accessories,789,379,789,907.0
FAB-0180,Beauty,735,390,735,845.0
FAB-0181,Home,1364,505,1364,1569.0
FAB-0182,Apparel,1769,743,1769,2034.0
FAB-0183,Footwear,1749,822,1749,2011.0
FAB-0184,Accessories,829,431,829,953.0
FAB-0185,Beauty,767,276,767,882.0
FAB-0186,Home,1416,581,1416,1628.0
FAB-0187,Apparel,1829,841,1829,2103.0
FAB-0188,Footwear,1849,943,1849,2126.0
FAB-0189,Accessories,869,304,869,999.0
FAB-0190,Beauty,799,320,799,919.0
FAB-0191,Home,1468,661,1468,1688.0
FAB-0192,Apparel,1889,944,1889,2172.0
