sku_id,category,current_price,cogs,competitor_price,mrp
MYN-W-0001,Apparel,3569,1820,3569,4104.0
MYN-W-0002,Apparel,3569,2141,3569,4104.0
MYN-W-0003,Apparel,3149,1574,3149,3621.0
MYN-W-0004,Apparel,3209,1893,3209,3690.0
MYN-W-0005,Apparel,4339,2126,4339,4990.0
MYN-W-0006,Apparel,1899,1101,1899,2184.0
MYN-W-0007,Apparel,3919,1881,3919,4507.0
MYN-W-0008,Apparel,2579,1470,2579,2966.0
MYN-W-0009,Apparel,2999,1410,2999,3449.0
MYN-W-0010,Apparel,4094,2293,4094,4708.0
MYN-W-0011,Apparel,2639,1214,2639,3035.0
MYN-W-0012,Apparel,3674,2021,3674,4225.0
MYN-W-0013,Apparel,2439,1098,2439,2805.0
MYN-W-0014,Apparel,3254,1757,3254,3742.0
MYN-W-0015,Apparel,2199,968,2199,2529.0
MYN-W-0016,Apparel,4444,2355,4444,5111.0
MYN-W-0017,Apparel,3429,1474,3429,3943.0
MYN-W-0018,Apparel,3449,1793,3449,3966.0
MYN-W-0019,Apparel,3009,1264,3009,3460.0
MYN-W-0020,Apparel,3089,1575,3089,3552.0
MYN-W-0021,Apparel,4199,2519,4199,4829.0
MYN-W-0022,Apparel,1819,910,1819,2092.0
MYN-W-0023,Apparel,3779,2230,3779,4346.0
MYN-W-0024,Apparel,2499,1225,2499,2874.0
MYN-W-0025,Apparel,2879,1670,2879,3311.0
MYN-W-0026,Apparel,3954,1898,3954,4547.0
MYN-W-0027,Apparel,3899,2222,3899,4484.0
MYN-W-0028,Apparel,3534,1661,3534,4064.0
MYN-W-0029,Apparel,2359,1321,2359,2713.0
MYN-W-0030,Apparel,3114,1432,3114,3581.0
MYN-W-0031,Apparel,2119,1165,2119,2437.0
MYN-W-0032,Apparel,4304,1937,4304,4950.0
MYN-W-0033,Apparel,3289,1776,3289,3782.0
MYN-W-0034,Apparel,3329,1465,3329,3828.0
MYN-W-0035,Apparel,4479,2374,4479,5151.0
MYN-W-0036,Apparel,2969,1277,2969,3414.0
MYN-W-0037,Apparel,4059,2111,4059,4668.0
MYN-W-0038,Apparel,1739,730,1739,2000.0
MYN-W-0039,Apparel,3639,1856,3639,4185.0
MYN-W-0040,Apparel,2419,1451,2419,2782.0
MYN-W-0041,Apparel,2759,1380,2759,3173.0
MYN-W-0042,Apparel,3814,2250,3814,4386.0
MYN-W-0043,Apparel,3779,1852,3779,4346.0
MYN-W-0044,Apparel,3394,1969,3394,3903.0
MYN-W-0045,Apparel,2279,1094,2279,2621.0
MYN-W-0046,Apparel,2974,1695,2974,3420.0
MYN-W-0047,Apparel,2039,958,2039,2345.0
MYN-W-0048,Apparel,4164,2332,4164,4789.0
MYN-W-0049,Apparel,3149,1449,3149,3621.0
MYN-W-0050,Apparel,3209,1765,3209,3690.0
MYN-W-0051,Apparel,4339,1953,4339,4990.0
MYN-W-0052,Apparel,2849,1538,2849,3276.0
